Country,Country Code,Year,Value
Afghanistan,2,2012,29825
Afghanistan,2,2013,30552
Albania,3,2012,3162
Albania,3,2013,3173
Algeria,4,2012,38482
Algeria,4,2013,39208
Angola,7,2012,20821
Angola,7,2013,21472
Antigua and Barbuda,8,2012,89
Antigua and Barbuda,8,2013,90
Argentina,9,2012,41087
Argentina,9,2013,41446
Armenia,1,2012,2969
Armenia,1,2013,2977
Australia,10,2012,23050
Australia,10,2013,23343
Austria,11,2012,8464
Austria,11,2013,8495
Azerbaijan,52,2012,9309
Azerbaijan,52,2013,9413
Bahamas,12,2012,372
Bahamas,12,2013,377
Bangladesh,16,2012,154695
Bangladesh,16,2013,156595
Barbados,14,2012,283
Barbados,14,2013,285
Belarus,57,2012,9405
Belarus,57,2013,9357
Belgium,255,2012,11060
Belgium,255,2013,11104
Belize,23,2012,324
Belize,23,2013,332
Benin,53,2012,10051
Benin,53,2013,10323
Bermuda,17,2012,65
Bermuda,17,2013,65
Bolivia (Plurinational State of),19,2012,10496
Bolivia (Plurinational State of),19,2013,10671
Bosnia and Herzegovina,80,2012,3834
Bosnia and Herzegovina,80,2013,3829
Botswana,20,2012,2004
Botswana,20,2013,2021
Brazil,21,2012,198656
Brazil,21,2013,200362
Brunei Darussalam,26,2012,412
Brunei Darussalam,26,2013,418
Bulgaria,27,2012,7278
Bulgaria,27,2013,7223
Burkina Faso,233,2012,16460
Burkina Faso,233,2013,16935
Cabo Verde,35,2012,494
Cabo Verde,35,2013,499
Cambodia,115,2012,14865
Cambodia,115,2013,15135
Cameroon,32,2012,21700
Cameroon,32,2013,22254
Canada,33,2012,34838
Canada,33,2013,35182
Central African Republic,37,2012,4525
Central African Republic,37,2013,4616
Chad,39,2012,12448
Chad,39,2013,12825
Chile,40,2012,17465
Chile,40,2013,17620
"China, Hong Kong SAR",96,2012,7148
"China, Hong Kong SAR",96,2013,7204
"China, Macao SAR",128,2012,557
"China, Macao SAR",128,2013,566
"China, mainland",41,2012,1377065
"China, mainland",41,2013,1385567
"China, Taiwan Province of",214,2012,23272
"China, Taiwan Province of",214,2013,23330
Colombia,44,2012,47704
Colombia,44,2013,48321
Congo,46,2012,4337
Congo,46,2013,4448
Costa Rica,48,2012,4805
Costa Rica,48,2013,4872
Côte d'Ivoire,107,2012,19840
Côte d'Ivoire,107,2013,20316
Croatia,98,2012,4307
Croatia,98,2013,4290
Cuba,49,2012,11271
Cuba,49,2013,11266
Cyprus,50,2012,1129
Cyprus,50,2013,1141
Czechia,167,2012,10660
Czechia,167,2013,10702
Democratic People's Republic of Korea,116,2012,24763
Democratic People's Republic of Korea,116,2013,24895
Denmark,54,2012,5598
Denmark,54,2013,5619
Djibouti,72,2012,860
Djibouti,72,2013,873
Dominica,55,2012,72
Dominica,55,2013,72
Dominican Republic,56,2012,10277
Dominican Republic,56,2013,10404
Ecuador,58,2012,15492
Ecuador,58,2013,15738
Egypt,59,2012,80722
Egypt,59,2013,82056
El Salvador,60,2012,6297
El Salvador,60,2013,6340
Estonia,63,2012,1291
Estonia,63,2013,1287
Ethiopia,238,2012,91729
Ethiopia,238,2013,94101
Fiji,66,2012,875
Fiji,66,2013,881
Finland,67,2012,5408
Finland,67,2013,5426
France,68,2012,63937
France,68,2013,64291
French Polynesia,70,2012,274
French Polynesia,70,2013,277
Gabon,74,2012,1633
Gabon,74,2013,1672
Gambia,75,2012,1791
Gambia,75,2013,1849
Georgia,73,2012,4358
Georgia,73,2013,4341
Germany,79,2012,82800
Germany,79,2013,82727
Ghana,81,2012,25366
Ghana,81,2013,25905
Greece,84,2012,11125
Greece,84,2013,11128
Grenada,86,2012,105
Grenada,86,2013,106
Guatemala,89,2012,15083
Guatemala,89,2013,15468
Guinea,90,2012,11451
Guinea,90,2013,11745
Guinea-Bissau,175,2012,1664
Guinea-Bissau,175,2013,1704
Guyana,91,2012,795
Guyana,91,2013,800
Haiti,93,2012,10174
Haiti,93,2013,10317
Honduras,95,2012,7936
Honduras,95,2013,8096
Hungary,97,2012,9976
Hungary,97,2013,9955
Iceland,99,2012,326
Iceland,99,2013,330
India,100,2012,1236687
India,100,2013,1252140
Indonesia,101,2012,246864
Indonesia,101,2013,249866
Iran (Islamic Republic of),102,2012,76424
Iran (Islamic Republic of),102,2013,77447
Iraq,103,2012,32778
Iraq,103,2013,33765
Ireland,104,2012,4576
Ireland,104,2013,4627
Israel,105,2012,7644
Israel,105,2013,7733
Italy,106,2012,60885
Italy,106,2013,60990
Jamaica,109,2012,2769
Jamaica,109,2013,2784
Japan,110,2012,127250
Japan,110,2013,127144
Jordan,112,2012,7009
Jordan,112,2013,7274
Kazakhstan,108,2012,16271
Kazakhstan,108,2013,16441
Kenya,114,2012,43178
Kenya,114,2013,44354
Kiribati,83,2012,101
Kiribati,83,2013,102
Kuwait,118,2012,3250
Kuwait,118,2013,3369
Kyrgyzstan,113,2012,5474
Kyrgyzstan,113,2013,5548
Lao People's Democratic Republic,120,2012,6646
Lao People's Democratic Republic,120,2013,6770
Latvia,119,2012,2060
Latvia,119,2013,2050
Lebanon,121,2012,4647
Lebanon,121,2013,4822
Lesotho,122,2012,2052
Lesotho,122,2013,2074
Liberia,123,2012,4190
Liberia,123,2013,4294
Lithuania,126,2012,3028
Lithuania,126,2013,3017
Luxembourg,256,2012,524
Luxembourg,256,2013,530
Madagascar,129,2012,22294
Madagascar,129,2013,22925
Malawi,130,2012,15906
Malawi,130,2013,16363
Malaysia,131,2012,29240
Malaysia,131,2013,29717
Maldives,132,2012,338
Maldives,132,2013,345
Mali,133,2012,14854
Mali,133,2013,15302
Malta,134,2012,428
Malta,134,2013,429
Mauritania,136,2012,3796
Mauritania,136,2013,3890
Mauritius,137,2012,1240
Mauritius,137,2013,1244
Mexico,138,2012,120847
Mexico,138,2013,122332
Mongolia,141,2012,2796
Mongolia,141,2013,2839
Montenegro,273,2012,621
Montenegro,273,2013,621
Morocco,143,2012,32521
Morocco,143,2013,33008
Mozambique,144,2012,25203
Mozambique,144,2013,25834
Myanmar,28,2012,52797
Myanmar,28,2013,53259
Namibia,147,2012,2259
Namibia,147,2013,2303
Nepal,149,2012,27474
Nepal,149,2013,27797
Netherlands,150,2012,16714
Netherlands,150,2013,16759
New Caledonia,153,2012,253
New Caledonia,153,2013,256
New Zealand,156,2012,4460
New Zealand,156,2013,4506
Nicaragua,157,2012,5992
Nicaragua,157,2013,6080
Niger,158,2012,17157
Niger,158,2013,17831
Nigeria,159,2012,168834
Nigeria,159,2013,173615
Norway,162,2012,4994
Norway,162,2013,5043
Oman,221,2012,3314
Oman,221,2013,3632
Pakistan,165,2012,179160
Pakistan,165,2013,182143
Panama,166,2012,3802
Panama,166,2013,3864
Paraguay,169,2012,6687
Paraguay,169,2013,6802
Peru,170,2012,29988
Peru,170,2013,30376
Philippines,171,2012,96707
Philippines,171,2013,98394
Poland,173,2012,38211
Poland,173,2013,38217
Portugal,174,2012,10604
Portugal,174,2013,10608
Republic of Korea,117,2012,49003
Republic of Korea,117,2013,49263
Republic of Moldova,146,2012,3514
Republic of Moldova,146,2013,3487
Romania,183,2012,21755
Romania,183,2013,21699
Russian Federation,185,2012,143170
Russian Federation,185,2013,142834
Rwanda,184,2012,11458
Rwanda,184,2013,11777
Saint Kitts and Nevis,188,2012,54
Saint Kitts and Nevis,188,2013,54
Saint Lucia,189,2012,181
Saint Lucia,189,2013,182
Saint Vincent and the Grenadines,191,2012,109
Saint Vincent and the Grenadines,191,2013,109
Samoa,244,2012,189
Samoa,244,2013,190
Sao Tome and Principe,193,2012,188
Sao Tome and Principe,193,2013,193
Saudi Arabia,194,2012,28288
Saudi Arabia,194,2013,28829
Senegal,195,2012,13726
Senegal,195,2013,14133
Serbia,272,2012,9553
Serbia,272,2013,9511
Sierra Leone,197,2012,5979
Sierra Leone,197,2013,6092
Slovakia,199,2012,5446
Slovakia,199,2013,5450
Slovenia,198,2012,2068
Slovenia,198,2013,2072
Solomon Islands,25,2012,550
Solomon Islands,25,2013,561
South Africa,202,2012,52386
South Africa,202,2013,52776
Spain,203,2012,46755
Spain,203,2013,46927
Sri Lanka,38,2012,21098
Sri Lanka,38,2013,21273
Sudan,276,2012,37195
Sudan,276,2013,37964
Suriname,207,2012,535
Suriname,207,2013,539
Eswatini,209,2012,1231
Eswatini,209,2013,1250
Sweden,210,2012,9511
Sweden,210,2013,9571
Switzerland,211,2012,7997
Switzerland,211,2013,8078
Tajikistan,208,2012,8009
Tajikistan,208,2013,8208
Thailand,216,2012,66785
Thailand,216,2013,67011
North Macedonia,154,2012,2106
North Macedonia,154,2013,2107
Timor-Leste,176,2012,1114
Timor-Leste,176,2013,1133
Togo,217,2012,6643
Togo,217,2013,6817
Trinidad and Tobago,220,2012,1337
Trinidad and Tobago,220,2013,1341
Tunisia,222,2012,10875
Tunisia,222,2013,10997
Turkey,223,2012,73997
Turkey,223,2013,74933
Turkmenistan,213,2012,5173
Turkmenistan,213,2013,5240
Uganda,226,2012,36346
Uganda,226,2013,37579
Ukraine,230,2012,45530
Ukraine,230,2013,45239
United Arab Emirates,225,2012,9206
United Arab Emirates,225,2013,9346
United Kingdom,229,2012,63030
United Kingdom,229,2013,63384
United Republic of Tanzania,215,2012,47783
United Republic of Tanzania,215,2013,49253
United States of America,231,2012,317505
United States of America,231,2013,320051
Uruguay,234,2012,3395
Uruguay,234,2013,3407
Uzbekistan,235,2012,28541
Uzbekistan,235,2013,28934
Vanuatu,155,2012,247
Vanuatu,155,2013,253
Venezuela (Bolivarian Republic of),236,2012,29955
Venezuela (Bolivarian Republic of),236,2013,30405
Viet Nam,237,2012,90796
Viet Nam,237,2013,91680
Yemen,249,2012,23852
Yemen,249,2013,24407
Zambia,251,2012,14075
Zambia,251,2013,14539
Zimbabwe,181,2012,13724
Zimbabwe,181,2013,14150
China,351,2012,1408042
China,351,2013,1416667
